timestamp,deployment_name,current_replicas,current_request,predicted_request
2025-07-05 19:34:36,test-app,2,566.57392,690.4899
2025-07-05 19:35:36,test-app,2,1227.2727272727273,1335.5712
2025-07-05 19:36:36,test-app,3,3350.9582727272727,N/A
2025-07-05 19:37:36,test-app,3,4808.727272727272,5088.0435
2025-07-05 19:38:36,test-app,11,6024.771338585859,6488.9517
2025-07-05 19:39:36,test-app,11,4210.909090909091,4778.463
2025-07-05 19:40:36,test-app,10,5138.181818181819,5406.93
2025-07-05 19:41:36,test-app,11,6189.536218181819,6165.2676
2025-07-05 19:42:36,test-app,13,3454.1818036363647,4363.5664
2025-07-05 19:43:36,test-app,10,4673.454545454546,4711.0576
2025-07-05 19:44:36,test-app,10,6269.454545454547,5966.9634
2025-07-05 19:45:36,test-app,12,4136.341,5187.843
2025-07-05 19:46:36,test-app,11,4528.363636363637,4791.1934
2025-07-05 19:47:36,test-app,10,5010.545454545456,4979.1333
2025-07-05 19:48:36,test-app,10,2938.909090909092,4471.88
2025-07-05 19:49:36,test-app,9,2794.909090909091,4117.5835
2025-07-05 19:50:36,test-app,9,2765.4545454545455,3775.1248
2025-07-05 19:51:36,test-app,8,3423.272727272728,3750.13
2025-07-05 19:52:36,test-app,8,2824.3636363636365,3513.982
2025-07-05 19:53:37,test-app,8,2040.0,2968.8918
2025-07-05 19:54:37,test-app,6,6496.363636363637,6172.9854
2025-07-05 19:55:37,test-app,13,5184.981238784792,5674.4307
2025-07-05 19:56:37,test-app,12,3736.363636363637,4477.724
2025-07-05 19:57:37,test-app,10,5061.818181818182,5229.672
2025-07-05 19:58:37,test-app,11,3892.002465454546,4249.512
2025-07-05 19:59:37,test-app,9,1281.8181818181813,3760.2666
2025-07-05 20:00:37,test-app,8,3729.818181818183,3839.4294
2025-07-05 20:01:37,test-app,8,3670.909090909092,3659.0046
2025-07-05 20:02:37,test-app,8,3513.8181818181824,3474.1787
2025-07-05 20:03:37,test-app,7,2204.727272727273,3119.597
2025-07-05 20:04:37,test-app,7,2241.8181818181815,2742.9094
2025-07-05 20:05:37,test-app,6,2362.9090909090914,2551.2954
2025-07-05 20:06:37,test-app,6,6772.363636363636,6162.2935
2025-07-05 20:07:37,test-app,13,6520.875820185022,6970.0586
2025-07-05 20:08:37,test-app,14,6804.738848342371,7139.2783
2025-07-05 20:09:37,test-app,15,4202.223080715924,5104.4834
2025-07-05 20:10:37,test-app,12,2932.3636363636374,4137.4717
2025-07-05 20:11:37,test-app,10,1652.7272727272725,3328.0356
2025-07-05 20:12:37,test-app,8,5465.454545454547,5574.142
2025-07-05 20:13:37,test-app,12,4967.057076146408,5069.981
2025-07-05 20:14:37,test-app,11,4138.909090909092,4102.298
2025-07-05 20:15:38,test-app,9,2540.7272727272725,3593.889
2025-07-05 20:16:38,test-app,8,4610.181818181819,4472.6416
2025-07-05 20:17:38,test-app,9,7126.493192727275,6860.6587
2025-07-05 20:18:38,test-app,9,5055.272727272728,5780.6694
2025-07-05 20:19:38,test-app,12,3743.637933333334,4645.8706
2025-07-05 20:20:38,test-app,10,1849.0909090909086,3923.4197
2025-07-05 20:21:38,test-app,8,1588.363636363636,3500.4453
2025-07-05 20:22:38,test-app,8,1646.181818181818,3050.3242
2025-07-05 20:23:38,test-app,7,1708.363636363636,2693.9856
2025-07-05 20:24:38,test-app,6,5930.217759984661,5940.741
2025-07-05 20:25:38,test-app,12,6254.908969394744,6742.4824
2025-07-05 20:26:38,test-app,14,6972.623667547286,7478.7983
2025-07-05 20:27:38,test-app,15,2477.720134545456,4999.5107
2025-07-05 20:28:38,test-app,12,3882.545454545455,4114.9253
2025-07-05 20:29:38,test-app,10,6273.818181818184,6495.1904
2025-07-05 20:30:38,test-app,13,6130.625456969698,6378.1455
2025-07-05 20:31:38,test-app,13,6019.636363636366,6156.4863
2025-07-05 20:32:38,test-app,13,5837.454545454547,5867.76
2025-07-05 20:33:38,test-app,12,6718.888582563941,6523.793
2025-07-05 20:34:38,test-app,14,6356.365145070936,6314.2163
